NSPID,volume,psc,px,py,pz
S0001,5176.0,1.1330242919921876,-38.0,-82.0,-8.0
S0004,1608.0,1.0272330474853515,-42.0,-66.0,2.0
S0005,4912.0,0.97241523742675784,-46.0,-70.0,6.0
S0006,2096.0,0.96270088195800785,-50.0,-72.0,10.0
S0007,1416.0,1.5681024169921876,-40.0,-80.0,2.0
S0009,1216.0,1.139873046875,-48.0,-72.0,4.0
S0010,1680.0,1.4238725280761719,-50.0,-74.0,2.0
S0012,6888.0,1.1055566406249999,-48.0,-74.0,8.0
S0014,2712.0,0.85523704528808597,-38.0,-76.0,12.0
S0016,1176.0,1.1927963256835938,-42.0,-72.0,0.0
S0017,6016.0,1.0879437255859374,-52.0,-72.0,18.0
S0019,448.0,1.0901708221435547,-42.0,-66.0,2.0
S0020,744.0,0.69947593688964849,-40.0,-84.0,2.0
S0023,2376.0,1.3331985473632812,-48.0,-74.0,0.0
S0025,4824.0,1.0796790313720703,-44.0,-78.0,4.0
S0027,232.0,1.1600933837890626,-42.0,-76.0,-2.0
S0029,5312.0,1.3491958618164062,-48.0,-72.0,8.0
S0031,3448.0,1.2466117095947267,-46.0,-70.0,6.0
S0032,216.0,1.3235417175292969,-46.0,-72.0,12.0
S0034,1248.0,0.77978500366210934,-42.0,-72.0,0.0
S0035,2672.0,1.3238281249999999,-44.0,-70.0,-4.0
S0036,1880.0,0.97926094055175783,-46.0,-72.0,0.0
S0037,2304.0,0.9941571807861328,-46.0,-62.0,-2.0
S0038,4128.0,1.0596958923339843,-44.0,-70.0,6.0
S0040,14928.0,1.2793796539306641,-46.0,-78.0,-2.0
S0041,1936.0,1.1943923950195312,-52.0,-64.0,2.0
S0044,4000.0,1.1287460327148438,-46.0,-70.0,6.0
S0046,7688.0,1.3034878540039063,-42.0,-78.0,4.0
S0047,2256.0,0.97190002441406254,-54.0,-68.0,12.0
S0049,7264.0,0.97802040100097654,-40.0,-64.0,10.0
S0051,1800.0,1.0036573791503907,-48.0,-76.0,14.0
S0052,2344.0,1.2814807128906249,-46.0,-72.0,8.0
S0053,1072.0,1.1805899047851562,-42.0,-70.0,4.0
S0056,9224.0,1.7714868164062501,-44.0,-68.0,2.0
S0057,4080.0,1.010542221069336,-40.0,-74.0,4.0
S0059,1736.0,0.96583343505859376,-40.0,-78.0,2.0
S0068,5888.0,1.0361498260498048,-46.0,-68.0,12.0
S0069,2216.0,1.0850718688964844,-44.0,-64.0,8.0
S0070,104.0,1.1106596374511719,-44.0,-70.0,8.0
S0074,2800.0,1.1245814514160157,-46.0,-74.0,8.0
S0076,7192.0,1.196566390991211,-42.0,-68.0,4.0
S0077,6208.0,1.3798788452148438,-46.0,-72.0,6.0
S0079,6040.0,1.0961837768554688,-42.0,-70.0,2.0
S0081,2856.0,0.7388104248046875,-40.0,-70.0,6.0
S0085,6264.0,0.99395553588867191,-44.0,-70.0,10.0
S0087,5728.0,1.5202662658691406,-38.0,-76.0,2.0
S0091,5000.0,1.0779499816894531,-48.0,-68.0,6.0
S0092,3080.0,1.0777903747558595,-52.0,-72.0,6.0
S0093,2128.0,1.0354943847656251,-40.0,-64.0,4.0
S0096,968.0,1.3661132812500001,-38.0,-76.0,6.0
S0098,1256.0,1.2084654998779296,-46.0,-72.0,14.0
S0099,6144.0,1.1602487182617187,-46.0,-70.0,0.0
S0101,12024.0,1.0976617431640625,-52.0,-72.0,6.0
