NSPID,volume,psc,px,py,pz
S0001,10584.0,1.3989828491210938,42.0,-86.0,8.0
S0004,0.0,nan,nan,nan,nan
S0005,5103.0,0.82271492004394531,30.0,-90.0,0.0
S0006,216.0,0.74463417053222658,30.0,-80.0,10.0
S0007,0.0,nan,nan,nan,nan
S0009,4617.0,1.2645338439941407,28.0,-88.0,-10.0
S0010,0.0,nan,nan,nan,nan
S0012,12879.0,0.89087974548339843,34.0,-88.0,-4.0
S0014,8721.0,0.89567054748535158,32.0,-96.0,-4.0
S0016,0.0,nan,nan,nan,nan
S0017,6318.0,1.0613820648193359,36.0,-78.0,4.0
S0019,0.0,nan,nan,nan,nan
S0020,135.0,0.95746315002441407,28.0,-84.0,4.0
S0023,0.0,nan,nan,nan,nan
S0025,3942.0,0.86690330505371094,36.0,-90.0,-6.0
S0027,0.0,nan,nan,nan,nan
S0029,7155.0,1.1707659912109376,28.0,-92.0,-6.0
S0031,864.0,0.71619873046875004,32.0,-84.0,-6.0
S0032,0.0,nan,nan,nan,nan
S0034,1485.0,0.84651550292968747,36.0,-82.0,0.0
S0035,0.0,nan,nan,nan,nan
S0036,0.0,nan,nan,nan,nan
S0037,3564.0,1.1023944854736327,36.0,-82.0,-4.0
S0038,2565.0,0.76436500549316411,30.0,-90.0,-2.0
S0040,8910.0,0.91381523132324216,30.0,-84.0,8.0
S0041,1782.0,0.93055053710937496,36.0,-76.0,4.0
S0044,10368.0,1.1003811645507813,26.0,-90.0,-6.0
S0046,945.0,1.3948463439941405,32.0,-88.0,-4.0
S0047,2214.0,1.3541140747070313,36.0,-90.0,6.0
S0049,1215.0,0.79584167480468748,38.0,-86.0,-4.0
S0051,0.0,nan,nan,nan,nan
S0052,810.0,1.0655501556396485,38.0,-88.0,-12.0
S0053,2727.0,1.1332496643066405,38.0,-82.0,0.0
S0056,32616.0,1.7942062377929688,38.0,-80.0,0.0
S0057,6507.0,1.1954376220703125,32.0,-90.0,-8.0
S0059,8235.0,0.98844497680664067,32.0,-86.0,-4.0
S0068,15714.0,1.1490345764160157,40.0,-82.0,-6.0
S0069,1080.0,0.94516098022460937,36.0,-76.0,2.0
S0070,0.0,nan,nan,nan,nan
S0074,891.0,0.86818374633789064,34.0,-80.0,4.0
S0076,2835.0,1.0436397552490235,40.0,-80.0,-12.0
S0077,1647.0,1.280033721923828,40.0,-86.0,-8.0
S0079,2970.0,1.2608737945556641,40.0,-88.0,-6.0
S0081,864.0,0.90465713500976563,38.0,-82.0,-12.0
S0085,270.0,0.87879013061523437,40.0,-86.0,-2.0
S0087,0.0,nan,nan,nan,nan
S0091,0.0,nan,nan,nan,nan
S0092,0.0,nan,nan,nan,nan
S0093,18036.0,1.0925033569335938,36.0,-84.0,0.0
S0096,0.0,nan,nan,nan,nan
S0098,0.0,nan,nan,nan,nan
S0099,5292.0,1.027508773803711,42.0,-80.0,0.0
S0101,2187.0,0.99895812988281252,34.0,-90.0,-2.0
S0102,0.0,nan,nan,nan,nan
S0105,0.0,nan,nan,nan,nan
S0108,0.0,nan,nan,nan,nan
S0109,4779.0,0.73729904174804684,40.0,-78.0,0.0
S0113,6426.0,1.1214789581298827,44.0,-78.0,2.0
S0114,6993.0,0.94454048156738279,32.0,-90.0,-8.0
S0116,0.0,nan,nan,nan,nan
S0117,6831.0,1.4250912475585937,36.0,-78.0,4.0
S0118,4887.0,1.0139754486083985,36.0,-86.0,6.0
S0119,0.0,nan,nan,nan,nan
S0120,16200.0,1.0277454376220703,38.0,-88.0,-8.0
S0121,3915.0,1.1036296081542969,36.0,-78.0,0.0
S0122,0.0,nan,nan,nan,nan
S0124,0.0,nan,nan,nan,nan
S0125,648.0,1.304762725830078,36.0,-86.0,0.0
S0127,0.0,nan,nan,nan,nan
S0128,0.0,nan,nan,nan,nan
S0129,10746.0,1.207816390991211,34.0,-88.0,8.0
S0131,0.0,nan,nan,nan,nan
S0132,0.0,nan,nan,nan,nan
S0133,4806.0,1.298359375,46.0,-82.0,0.0
S0134,0.0,nan,nan,nan,nan
S0135,0.0,nan,nan,nan,nan
S0136,918.0,1.1897834014892579,34.0,-90.0,-2.0
S0138,0.0,nan,nan,nan,nan
S0139,0.0,nan,nan,nan,nan
S0140,0.0,nan,nan,nan,nan
S0141,621.0,0.77423538208007814,34.0,-80.0,0.0
S0143,0.0,nan,nan,nan,nan
S0144,0.0,nan,nan,nan,nan
S0151,0.0,nan,nan,nan,nan
S0152,0.0,nan,nan,nan,nan
S0153,6588.0,1.1667775726318359,36.0,-88.0,0.0
S0154,0.0,nan,nan,nan,nan
S0155,10881.0,1.0878178405761718,32.0,-80.0,2.0
S0159,0.0,nan,nan,nan,nan
S0161,6615.0,0.84308456420898437,32.0,-80.0,0.0
S0164,0.0,nan,nan,nan,nan
S0165,0.0,nan,nan,nan,nan
S0166,0.0,nan,nan,nan,nan
S0167,0.0,nan,nan,nan,nan
S0171,15741.0,1.2316136932373047,36.0,-88.0,0.0
S0172,1566.0,0.94380691528320315,32.0,-84.0,10.0
S0173,0.0,nan,nan,nan,nan
S0174,0.0,nan,nan,nan,nan
S0177,1701.0,1.1240966796875,40.0,-80.0,-2.0
S0178,8910.0,1.4627938842773438,28.0,-94.0,0.0
S0179,0.0,nan,nan,nan,nan
S0181,0.0,nan,nan,nan,nan
S0182,9693.0,1.4810183715820313,30.0,-90.0,-4.0
S0183,216.0,0.9746846771240234,34.0,-88.0,2.0
S0184,2673.0,0.98940803527832033,32.0,-80.0,6.0
S0185,0.0,nan,nan,nan,nan
S0186,17631.0,1.1745657348632812,38.0,-86.0,-6.0
S0187,621.0,0.70546806335449219,38.0,-82.0,-2.0
S0190,189.0,0.79446876525878907,38.0,-86.0,-6.0
S0191,16281.0,1.6533889770507812,40.0,-90.0,6.0
S0192,0.0,nan,nan,nan,nan
S0193,19980.0,0.90241111755371095,34.0,-86.0,-10.0
S0194,0.0,nan,nan,nan,nan
S0195,405.0,0.87995674133300783,32.0,-84.0,2.0
S0196,0.0,nan,nan,nan,nan
S0197,0.0,nan,nan,nan,nan
S0199,0.0,nan,nan,nan,nan
S0200,351.0,1.254215850830078,32.0,-86.0,4.0
S0201,432.0,0.90895881652832033,34.0,-78.0,2.0
S0203,108.0,0.97894584655761718,42.0,-84.0,-8.0
S0205,0.0,nan,nan,nan,nan
S0207,0.0,nan,nan,nan,nan
S0208,2025.0,1.2763713836669921,34.0,-90.0,-2.0
S0209,0.0,nan,nan,nan,nan
S0213,513.0,1.3392864990234374,34.0,-90.0,-2.0
S0216,13365.0,1.117799072265625,36.0,-92.0,-10.0
S0217,0.0,nan,nan,nan,nan
S0218,16119.0,1.3363305664062499,32.0,-82.0,-4.0
S0219,17739.0,1.2489820861816405,36.0,-86.0,-8.0
S0220,756.0,1.1152040100097655,26.0,-86.0,6.0
S0222,5940.0,0.95349243164062503,38.0,-84.0,2.0
S0225,2106.0,1.1444285583496094,32.0,-84.0,4.0
