NSPID,volume,psc,px,py,pz
S0001,3360.0,1.2656431579589844,40.0,-74.0,4.0
S0004,744.0,1.1081346893310546,44.0,-60.0,8.0
S0005,6720.0,1.0922406005859375,50.0,-68.0,0.0
S0006,2128.0,1.3727423095703124,46.0,-72.0,-2.0
S0007,4984.0,1.5812179565429687,42.0,-64.0,4.0
S0009,3472.0,1.441116485595703,42.0,-66.0,6.0
S0010,1104.0,1.6741699218749999,54.0,-70.0,12.0
S0012,7552.0,0.99365837097167964,46.0,-70.0,6.0
S0014,3376.0,1.255040740966797,50.0,-68.0,8.0
S0016,4024.0,1.4350427246093751,46.0,-70.0,-6.0
S0017,6376.0,1.3654776000976563,46.0,-62.0,12.0
S0019,1232.0,0.93286758422851568,44.0,-58.0,0.0
S0020,648.0,1.0714548492431641,54.0,-56.0,-2.0
S0023,1472.0,1.0978643798828125,46.0,-68.0,2.0
S0025,4864.0,1.0910901641845703,48.0,-70.0,2.0
S0027,528.0,1.2182838439941406,44.0,-72.0,-6.0
S0029,1816.0,1.6690222167968749,44.0,-66.0,-4.0
S0031,7176.0,1.2470519256591797,44.0,-58.0,-2.0
S0032,608.0,1.7891630554199218,48.0,-66.0,0.0
S0034,2192.0,1.0067041015625,44.0,-62.0,2.0
S0035,1688.0,0.78332092285156252,48.0,-64.0,-4.0
S0036,2232.0,1.1063621520996094,50.0,-70.0,8.0
S0037,4184.0,1.2983018493652343,42.0,-62.0,0.0
S0038,4656.0,1.3161917114257813,42.0,-62.0,2.0
S0040,11096.0,1.3715658569335938,48.0,-74.0,-4.0
S0041,3584.0,1.4564581298828125,48.0,-64.0,6.0
S0044,3720.0,1.3369624328613281,42.0,-64.0,2.0
S0046,5136.0,1.1462667083740234,48.0,-62.0,2.0
S0047,3984.0,1.6988107299804687,50.0,-60.0,8.0
S0049,9792.0,1.1391954040527343,48.0,-60.0,8.0
S0051,4704.0,0.93556938171386717,50.0,-74.0,-2.0
S0052,1456.0,1.3894630432128907,50.0,-66.0,2.0
S0053,2152.0,1.5028018188476562,44.0,-62.0,-2.0
S0056,9408.0,1.8655763244628907,42.0,-60.0,6.0
S0057,2248.0,1.2352478790283203,46.0,-62.0,2.0
S0059,3704.0,1.098763198852539,46.0,-80.0,2.0
S0068,3368.0,1.0163649749755859,42.0,-62.0,6.0
S0069,1912.0,1.1788329315185546,50.0,-72.0,2.0
S0070,200.0,1.1136489868164063,42.0,-62.0,2.0
S0074,2280.0,1.3084825134277345,46.0,-66.0,2.0
S0076,2632.0,1.1303511047363282,42.0,-64.0,4.0
S0077,9392.0,1.7469192504882813,46.0,-64.0,4.0
S0079,2640.0,1.2608663940429687,48.0,-68.0,0.0
S0081,4576.0,1.0532815551757813,40.0,-72.0,6.0
S0085,5616.0,1.4962879943847656,48.0,-62.0,-8.0
S0087,7000.0,1.7456755065917968,42.0,-60.0,-4.0
S0091,3848.0,0.98518569946289059,44.0,-78.0,6.0
S0092,4488.0,1.2222014617919923,48.0,-70.0,-4.0
S0093,5712.0,1.3189179992675781,48.0,-60.0,4.0
S0096,3488.0,1.4463835144042969,48.0,-74.0,-4.0
S0098,1496.0,1.4488609313964844,48.0,-64.0,6.0
S0099,2784.0,1.1180387115478516,44.0,-64.0,-2.0
S0101,6552.0,1.2013598632812501,42.0,-68.0,8.0
S0102,2776.0,1.3983587646484374,46.0,-60.0,4.0
S0105,1808.0,1.3209089660644531,46.0,-68.0,0.0
S0108,2400.0,1.4432701110839843,50.0,-72.0,8.0
S0109,4872.0,1.0900826263427734,42.0,-62.0,4.0
S0113,7224.0,1.7012229919433595,48.0,-58.0,8.0
S0114,6224.0,1.091751251220703,42.0,-66.0,0.0
S0116,2048.0,1.3269770812988282,42.0,-68.0,-2.0
S0117,4224.0,1.2181302642822265,50.0,-68.0,10.0
S0118,2392.0,1.0991699981689453,40.0,-64.0,4.0
S0119,5728.0,1.3204089355468751,38.0,-74.0,6.0
S0120,4648.0,1.3482357788085937,48.0,-66.0,2.0
S0121,6112.0,1.5303666687011719,52.0,-62.0,6.0
S0122,1136.0,1.4625830078124999,52.0,-68.0,4.0
S0124,744.0,1.3696202087402343,46.0,-60.0,2.0
S0125,3304.0,1.1613984680175782,48.0,-66.0,2.0
S0127,2472.0,2.1645001220703124,48.0,-66.0,-4.0
S0128,4128.0,1.3332864379882812,46.0,-62.0,12.0
S0129,4608.0,1.3154158020019531,44.0,-68.0,2.0
S0131,2104.0,1.0396987915039062,40.0,-74.0,2.0
S0132,248.0,1.08852294921875,44.0,-74.0,-6.0
S0133,10592.0,1.4493106079101563,48.0,-66.0,4.0
S0134,520.0,0.93137954711914062,44.0,-68.0,6.0
S0135,5296.0,1.413624267578125,46.0,-64.0,4.0
S0136,2952.0,1.5224600219726563,46.0,-66.0,4.0
S0138,6968.0,1.1456771850585938,42.0,-70.0,2.0
S0139,5368.0,1.2820445251464845,44.0,-72.0,16.0
S0140,2008.0,1.9457688903808594,42.0,-60.0,2.0
S0141,1528.0,1.1260391235351563,44.0,-64.0,4.0
S0143,0.0,nan,nan,nan,nan
S0144,0.0,nan,nan,nan,nan
S0151,3288.0,0.89805175781250002,40.0,-74.0,4.0
S0152,2488.0,1.5613294982910155,50.0,-66.0,6.0
S0153,9088.0,1.1369922637939454,38.0,-68.0,4.0
S0154,1016.0,1.4911683654785157,50.0,-54.0,4.0
S0155,3976.0,1.2026005554199219,48.0,-66.0,4.0
S0159,0.0,nan,nan,nan,nan
S0161,5544.0,1.2387325286865234,44.0,-56.0,4.0
S0164,0.0,nan,nan,nan,nan
S0165,2432.0,1.6804360961914062,40.0,-80.0,-2.0
S0166,4056.0,1.4532763671875,48.0,-66.0,0.0
S0167,3896.0,1.0895159912109376,50.0,-70.0,-2.0
S0171,5656.0,1.3488851928710937,46.0,-62.0,6.0
S0172,3096.0,1.2685253143310546,48.0,-66.0,4.0
S0173,5936.0,1.161648941040039,52.0,-56.0,2.0
S0174,3024.0,1.1343892669677735,46.0,-64.0,2.0
S0177,1504.0,0.86827262878417966,40.0,-72.0,2.0
S0178,5600.0,1.6051235961914063,42.0,-70.0,-2.0
S0179,6144.0,1.3566464233398436,50.0,-56.0,4.0
S0181,560.0,0.89079376220703121,50.0,-62.0,10.0
S0182,2184.0,1.4619447326660155,42.0,-66.0,4.0
S0183,2184.0,1.7070686340332031,44.0,-64.0,4.0
S0184,6120.0,1.196562271118164,48.0,-54.0,6.0
S0185,3480.0,1.948014373779297,44.0,-58.0,8.0
S0186,5976.0,1.5877381896972655,44.0,-64.0,0.0
S0187,1080.0,0.87899124145507812,54.0,-68.0,6.0
S0190,992.0,1.0967599487304687,42.0,-66.0,6.0
S0191,8904.0,1.4531748962402344,42.0,-56.0,4.0
S0192,5056.0,1.4516761779785157,44.0,-70.0,2.0
S0193,7840.0,1.0263048553466796,50.0,-64.0,0.0
S0194,1016.0,1.1089688873291015,42.0,-74.0,6.0
S0195,2128.0,1.1968507385253906,52.0,-66.0,2.0
S0196,408.0,1.1894651794433593,50.0,-72.0,14.0
S0197,1992.0,1.1607144927978517,42.0,-60.0,6.0
S0199,2880.0,1.6121791076660157,52.0,-64.0,4.0
S0200,3272.0,1.9050253295898438,50.0,-58.0,10.0
S0201,1248.0,1.0484997558593749,42.0,-62.0,2.0
S0203,640.0,1.4342424011230468,50.0,-74.0,4.0
S0205,488.0,1.0050180816650391,44.0,-70.0,4.0
S0207,296.0,1.266026840209961,48.0,-64.0,-2.0
S0208,6096.0,1.5124987792968749,44.0,-70.0,2.0
S0209,3760.0,1.2668044281005859,40.0,-76.0,6.0
S0213,5224.0,1.5829490661621093,40.0,-64.0,10.0
S0216,9048.0,1.2676920318603515,54.0,-66.0,8.0
S0217,720.0,1.1642069244384765,42.0,-64.0,2.0
S0218,5176.0,1.437699432373047,46.0,-68.0,2.0
S0219,3808.0,1.2914218139648437,46.0,-70.0,-6.0
S0220,2944.0,1.4397442626953125,46.0,-68.0,6.0
S0222,3800.0,1.3115132141113282,42.0,-58.0,8.0
S0225,2224.0,1.3678797912597656,44.0,-68.0,0.0
S0228,1224.0,1.5570405578613282,46.0,-68.0,6.0
S0229,1920.0,1.0945921325683594,42.0,-58.0,4.0
S0230,5904.0,1.1720416259765625,48.0,-66.0,20.0
S0231,5816.0,1.3321437072753906,48.0,-60.0,8.0
S0232,1984.0,1.4194027709960937,42.0,-66.0,4.0
S0233,6056.0,1.5366603088378907,42.0,-58.0,2.0
S0234,1328.0,1.3594546508789063,48.0,-68.0,10.0
S0236,424.0,1.1222146606445313,48.0,-66.0,6.0
S0237,3336.0,1.3652992248535156,50.0,-66.0,4.0
S0239,9008.0,1.0487279510498047,40.0,-60.0,4.0
S0242,1352.0,1.2843582153320312,48.0,-60.0,14.0
S0243,616.0,1.0134718322753906,44.0,-60.0,6.0
S0244,3008.0,1.3178726196289063,46.0,-70.0,8.0
S0245,2320.0,1.4436750793457032,44.0,-62.0,4.0
S0246,2544.0,1.1905500793457031,42.0,-68.0,4.0
S0247,4576.0,1.5077493286132813,48.0,-64.0,8.0
S0249,3040.0,1.1719996643066406,40.0,-64.0,2.0
S0250,8272.0,1.5797094726562499,48.0,-70.0,2.0
S0252,5080.0,1.1992401885986328,44.0,-56.0,4.0
S0256,5008.0,1.198062973022461,42.0,-58.0,12.0
S0261,0.0,nan,nan,nan,nan
S0262,888.0,1.1338567352294922,50.0,-58.0,2.0
S0264,8640.0,1.4660977172851561,46.0,-68.0,-4.0
S0265,5456.0,1.3859637451171876,48.0,-62.0,10.0
S0267,5904.0,1.2321416473388671,50.0,-60.0,8.0
S0268,4064.0,1.1723131561279296,48.0,-64.0,6.0
S0270,632.0,1.4547431945800782,56.0,-64.0,10.0
S0271,1848.0,1.2456768035888672,46.0,-62.0,-4.0
S0272,5080.0,1.2892677307128906,46.0,-72.0,-4.0
S0274,0.0,nan,nan,nan,nan
S0275,7624.0,1.3479696655273437,44.0,-62.0,-6.0
S0277,1296.0,1.1677526092529298,50.0,-54.0,0.0
S0278,8392.0,1.4694564819335938,54.0,-68.0,4.0
S0280,3544.0,1.1192991638183594,46.0,-68.0,6.0
S0282,4096.0,1.6936431884765626,48.0,-68.0,2.0
S0283,4016.0,1.3226107788085937,48.0,-68.0,2.0
S0284,152.0,0.93455192565917966,50.0,-64.0,0.0
S0286,2904.0,1.616195831298828,48.0,-60.0,0.0
S0287,2720.0,1.8966322326660157,52.0,-70.0,6.0
S0288,4808.0,1.9996662902832032,42.0,-68.0,0.0
S0292,264.0,0.89728912353515622,42.0,-56.0,10.0
S0294,6296.0,1.1948886871337892,44.0,-68.0,-2.0
S0295,0.0,nan,nan,nan,nan
S0296,7992.0,1.6446539306640624,42.0,-68.0,12.0
S0299,4048.0,1.0916401672363281,52.0,-66.0,4.0
S0302,2112.0,1.5026463317871093,42.0,-60.0,-2.0
S0303,2680.0,1.2757390594482423,46.0,-66.0,4.0
S0305,1664.0,1.2505953979492188,40.0,-76.0,6.0
S0308,3432.0,1.1223056793212891,50.0,-70.0,14.0
S0311,5384.0,1.2832563781738282,48.0,-72.0,-2.0
S0312,1264.0,1.3014637756347656,46.0,-66.0,6.0
S0313,5376.0,1.0961183166503907,44.0,-76.0,-4.0
S0314,2056.0,1.2757420349121094,42.0,-68.0,12.0
S0317,8024.0,1.1668499755859374,48.0,-76.0,4.0
S0318,2376.0,1.1730785369873047,46.0,-58.0,6.0
S0322,504.0,1.5144308471679688,48.0,-64.0,2.0
S0323,8344.0,1.2317746734619142,58.0,-56.0,12.0
S0324,2904.0,1.7418405151367187,48.0,-64.0,12.0
S0325,3456.0,1.5289967346191407,50.0,-64.0,-2.0
S0327,1288.0,0.88513954162597652,44.0,-64.0,-6.0
S0328,4776.0,1.4423861694335938,50.0,-66.0,4.0
S0329,6544.0,1.2837565612792969,42.0,-62.0,6.0
S0330,6520.0,1.1242882537841796,42.0,-68.0,2.0
S0332,2056.0,1.058161849975586,40.0,-78.0,2.0
S0334,3184.0,1.3192030334472655,46.0,-70.0,2.0
S0335,1088.0,0.74997795104980469,42.0,-60.0,6.0
S0337,5824.0,1.5331953430175782,52.0,-64.0,2.0
S0338,6504.0,1.3930035400390626,42.0,-68.0,-2.0
S0342,1016.0,0.90188377380371099,44.0,-72.0,10.0
S1001,2416.0,1.3601142883300781,42.0,-64.0,-2.0
S1002,48.0,1.7184553527832032,46.0,-72.0,-4.0
S1003,784.0,1.2154981231689452,42.0,-70.0,4.0
S1005,6584.0,1.1608052825927735,44.0,-68.0,0.0
S1006,3360.0,1.264659423828125,48.0,-62.0,10.0
S1007,2032.0,1.6967944335937499,46.0,-62.0,2.0
S1008,2840.0,1.1601616668701171,54.0,-70.0,2.0
S1009,3832.0,1.3522811889648438,48.0,-66.0,6.0
S1011,3992.0,1.2241040802001952,42.0,-58.0,6.0
